English Phrase,Type,Phrase,Example 1 (Formal),Example 2 (Informal)
"Dear Sir or Madam",Begrüßung,"Sehr geehrte Damen und Herren,","Sehr geehrte Damen und Herren,","Hallo zusammen,"
"Dear Mr. / Ms. [Last Name]",Begrüßung,"Sehr geehrte/r Herr/Frau [Last Name],","Sehr geehrter Herr Schmidt,","Hallo Frau Schmidt,"
"Hello [First Name]",Begrüßung,"Hallo [First Name],","-","Hallo Tom,"
"Hi [First Name]",Begrüßung,"Hi [First Name],","-","Hi Lena,"
"I hope this email finds you well.",Einleitung,"Ich hoffe, diese E-Mail erreicht Sie wohlbehalten.","Ich hoffe, diese E-Mail erreicht Sie wohlbehalten.","Hoffe, dir geht's gut!"
"I am writing to you regarding...",Einleitung,"Ich schreibe Ihnen bezüglich...","Ich schreibe Ihnen bezüglich der Lieferverzögerung.","Ich schreib dir wegen der Verspätung."
"Thank you for your email.",Einleitung,"Vielen Dank für Ihre E-Mail.","Vielen Dank für Ihre E-Mail.","Danke für deine Mail!"
"Thank you for your prompt reply.",Einleitung,"Vielen Dank für Ihre schnelle Antwort.","Vielen Dank für Ihre schnelle Antwort.","Danke für deine schnelle Antwort!"
"I would like to inform you that...",Hauptteil,"Ich möchte Sie darüber informieren, dass...","Ich möchte Sie darüber informieren, dass die Bestellung versandt wurde.","Ich wollte dir sagen, dass die Bestellung raus ist."
"Could you please...?",Frage,"Könnten Sie bitte...?","Könnten Sie bitte die Unterlagen senden?","Kannst du mir die Unterlagen schicken?"
"Would it be possible to...?",Frage,"Wäre es möglich, dass...?","Wäre es möglich, dass wir den Termin verschieben?","Könnten wir den Termin verschieben?"
"I am sorry for the inconvenience.",Beschwerdeantwort,"Es tut mir leid für die Unannehmlichkeiten.","Es tut mir leid für die Unannehmlichkeiten.","Tut mir leid für die Umstände."
"We apologize for the delay.",Beschwerdeantwort,"Wir entschuldigen uns für die Verzögerung.","Wir entschuldigen uns für die Verzögerung.","Sorry für die Verspätung."
"I would like to complain about...",Beschwerde,"Ich möchte mich über... beschweren.","Ich möchte mich über die falsche Lieferung beschweren.","Ich muss mich über die falsche Lieferung beschweren."
"The product is defective.",Beschwerde,"Das Produkt ist defekt.","Das Produkt ist defekt.","Das Produkt ist kaputt."
"The service was unsatisfactory.",Beschwerde,"Der Service war unbefriedigend.","Der Service war unbefriedigend.","Der Service war echt schlecht."
"Please let us know how we can resolve this.",Beschwerdeantwort,"Bitte teilen Sie uns mit, wie wir das Problem lösen können.","Bitte teilen Sie uns mit, wie wir das Problem lösen können.","Sag uns, wie wir das regeln können."
"We will investigate the issue.",Beschwerdeantwort,"Wir werden das Problem untersuchen.","Wir werden das Problem untersuchen.","Wir kümmern uns darum."
"Looking forward to your reply.",Schluss,"Ich freue mich auf Ihre Antwort.","Ich freue mich auf Ihre Antwort.","Freue mich auf deine Antwort!"
"Best regards",Schluss,"Mit freundlichen Grüßen","Mit freundlichen Grüßen,","Liebe Grüße,"
"Kind regards",Schluss,"Herzliche Grüße","Herzliche Grüße,","Viele Grüße,"
"Thank you in advance.",Schluss,"Vielen Dank im Voraus.","Vielen Dank im Voraus.","Danke schon mal!"
"Please find the attachment below.",Anhang,"Bitte finden Sie den Anhang unten.","Bitte finden Sie den Anhang unten.","Der Anhang ist dabei."
"Could you provide more information?",Frage,"Könnten Sie weitere Informationen bereitstellen?","Könnten Sie weitere Informationen bereitstellen?","Kannst du mir mehr Infos geben?"
"Please confirm receipt of this email.",Frage,"Bitte bestätigen Sie den Empfang dieser E-Mail.","Bitte bestätigen Sie den Empfang dieser E-Mail.","Bestätige bitte, dass du die Mail bekommen hast."
"I appreciate your understanding.",Schluss,"Ich danke Ihnen für Ihr Verständnis.","Ich danke Ihnen für Ihr Verständnis.","Danke für dein Verständnis!"
"Let me know if you need further assistance.",Schluss,"Lassen Sie mich wissen, falls Sie weitere Hilfe benötigen.","Lassen Sie mich wissen, falls Sie weitere Hilfe benötigen.","Lass mich wissen, wenn du noch Hilfe brauchst."
"I am looking forward to hearing from you.",Schluss,"Ich freue mich darauf, von Ihnen zu hören.","Ich freue mich darauf, von Ihnen zu hören.","Freue mich, von dir zu hören!"
"Please let me know your availability.",Frage,"Bitte teilen Sie mir Ihre Verfügbarkeit mit.","Bitte teilen Sie mir Ihre Verfügbarkeit mit.","Sag mir, wann du Zeit hast."
"We appreciate your feedback.",Schluss,"Wir schätzen Ihr Feedback.","Wir schätzen Ihr Feedback.","Wir freuen uns über dein Feedback."
"Could you clarify this point?",Frage,"Könnten Sie diesen Punkt klären?","Könnten Sie diesen Punkt klären?","Kannst du das genauer erklären?"
"I am following up on my previous email.",Einleitung,"Ich möchte an meine vorherige E-Mail anknüpfen.","Ich möchte an meine vorherige E-Mail anknüpfen.","Ich wollte nochmal nachhaken wegen meiner letzten Mail."
"Please let us know if this works for you.",Frage,"Bitte teilen Sie uns mit, ob das für Sie passt.","Bitte teilen Sie uns mit, ob das für Sie passt.","Sag uns, ob das für dich passt."
"We regret any inconvenience caused.",Beschwerdeantwort,"Wir bedauern die entstandenen Unannehmlichkeiten.","Wir bedauern die entstandenen Unannehmlichkeiten.","Tut uns leid für die Umstände."
"Thank you for your cooperation.",Schluss,"Vielen Dank für Ihre Zusammenarbeit.","Vielen Dank für Ihre Zusammenarbeit.","Danke für deine Hilfe!"
"Please do not hesitate to contact us.",Schluss,"Zögern Sie nicht, uns zu kontaktieren.","Zögern Sie nicht, uns zu kontaktieren.","Melde dich einfach, wenn du Fragen hast."
"Could you send me the details?",Frage,"Könnten Sie mir die Details senden?","Könnten Sie mir die Details senden?","Kannst du mir die Details schicken?"
"I am available for a meeting on...",Hauptteil,"Ich bin verfügbar für ein Meeting am...","Ich bin verfügbar für ein Meeting am 15. Oktober.","Ich hab am 15. Oktober Zeit für ein Meeting."
"Please let me know if you have any questions.",Schluss,"Bitte lassen Sie mich wissen, falls Sie Fragen haben.","Bitte lassen Sie mich wissen, falls Sie Fragen haben.","Frag einfach, wenn du was nicht verstehst."