"Front","Back"
"Ich gehe heute Abend ___ Kino.","Ich gehe heute Abend *ins* Kino."
"Sie fährt mit dem Fahrrad ___ Schule.","Sie fährt mit dem Fahrrad *zur* Schule."
"Der Bus fährt gerade ___ Berlin ab.","Der Bus fährt gerade *nach* Berlin ab."
"Ich komme gerade ___ der Arbeit.","Ich komme gerade *von* der Arbeit."
"Wir fahren ___ die Berge zum Wandern.","Wir fahren *in* die Berge zum Wandern."
"Ich gehe ___ Supermarkt, um Brot zu kaufen.","Ich gehe *zum* Supermarkt, um Brot zu kaufen."
"Er kommt gerade ___ dem Büro.","Er kommt gerade *aus* dem Büro."
"Wir gehen ___ dem Park spazieren.","Wir gehen *durch* den Park spazieren."
"Ich komme gerade ___ dem Fitnessstudio.","Ich komme gerade *aus* dem Fitnessstudio."
"Ich setze mich ___ den Tisch.","Ich setze mich *an* den Tisch."
"Wir fahren ___ dem Zug nach München.","Wir fahren *mit* dem Zug nach München."
"Er steigt ___ das Taxi ein.","Er steigt *in* das Taxi ein."
"Sie geht schnell ___ die Haltestelle.","Sie geht schnell *zur* Haltestelle."
"Mein Freund wohnt ___ Köln.","Mein Freund wohnt *in* Köln."
"Wir treffen uns ___ dem Bahnhof.","Wir treffen uns *am* dem Bahnhof."
"Das Auto steht ___ der Garage.","Das Auto steht *in* der Garage."
"Das Restaurant liegt ___ dem Fluss.","Das Restaurant liegt *an* dem Fluss."
"Mein Bruder bleibt ___ Hause.","Mein Bruder bleibt *zu* Hause."
"Das Krankenhaus befindet sich ___ dem Stadtzentrum.","Das Krankenhaus befindet sich *in* dem Stadtzentrum."
"Der Schlüssel liegt ___ der Tasche.","Der Schlüssel liegt *in* der Tasche."
"Das Bild hängt ___ der Wand.","Das Bild hängt *an* der Wand."
"Die Bibliothek ist direkt ___ der Schule.","Die Bibliothek ist direkt *neben* der Schule."
"Das Café ist ___ dem Museum.","Das Café ist *gegenüber* dem Museum."
"Die Katze sitzt ___ dem Sofa.","Die Katze sitzt *auf* dem Sofa."
"Der Hund schläft ___ dem Teppich.","Der Hund schläft *auf* dem Teppich."
"Der Vogel fliegt ___ dem Himmel.","Der Vogel fliegt *über* dem Himmel."
"Die Kinder spielen ___ dem Spielplatz.","Die Kinder spielen *auf* dem Spielplatz."
"Wir machen ein Picknick ___ dem Park.","Wir machen ein Picknick *im* Park."
"Der Fluss fließt ___ die Stadt.","Der Fluss fließt *durch* die Stadt."
"Das Boot fährt ___ den See hinaus.","Das Boot fährt *auf* den See hinaus."
"Berlin liegt ___ Deutschland.","Berlin liegt *in* Deutschland."
"Österreich ist ___ Deutschland.","Österreich ist *neben* Deutschland."
"Der Mount Everest liegt ___ Asien.","Der Mount Everest liegt *in* Asien."
"Das Schloss Neuschwanstein befindet sich ___ Bayern.","Das Schloss Neuschwanstein befindet sich *in* Bayern."
"Der Nil fließt ___ Afrika.","Der Nil fließt *durch* Afrika."
"Mein Haus ist ___ der Kirche.","Mein Haus ist *neben* der Kirche."
"Die Post ist direkt ___ dem Hotel.","Die Post ist direkt *gegenüber* dem Hotel."
"Ich gehe ___ meinem Büro.","Ich gehe *zu* meinem Büro."
"Wir essen Mittagessen ___ der Kantine.","Wir essen Mittagessen *in* der Kantine."
"Mein Chef steht ___ dem Fenster.","Mein Chef steht *vor* dem Fenster."
"Die Mitarbeiter sitzen ___ dem Besprechungsraum.","Die Mitarbeiter sitzen *im* Besprechungsraum."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."
"Das Flugzeug startet ___ dem Flughafen.","Das Flugzeug startet *vom* Flughafen."
"Die Straße führt ___ den Wald.","Die Straße führt *durch* den Wald."
"Ich warte ___ der Bushaltestelle.","Ich warte *an* der Bushaltestelle."
"Die Lampe hängt ___ der Decke.","Die Lampe hängt *an* der Decke."
"Die Kinder sitzen ___ dem Teppich.","Die Kinder sitzen *auf* dem Teppich."
"Das Flugzeug fliegt ___ den Wolken.","Das Flugzeug fliegt *über* den Wolken."
"Das Auto parkt ___ der Straße.","Das Auto parkt *an* der Straße."
"Wir fahren ___ die Brücke.","Wir fahren *über* die Brücke."
"Der Supermarkt ist ___ der Bank.","Der Supermarkt ist *neben* der Bank."
"Ich bin gerade ___ dem Hotel angekommen.","Ich bin gerade *im* Hotel angekommen."