"nomen-verb-verbindung","bedeutet","case","meaning in german","meaning in english","example1","example2"
"ein Gespräch führen mit","to have a conversation with","dative","eine Unterhaltung haben mit jemandem","to have a conversation with someone","Er führt ein Gespräch mit seinem Chef.","Ich muss ein ernstes Gespräch mit dir führen."
"ein Gespräch führen über","to have a conversation about","accusative","über ein Thema sprechen","to talk about a topic","Sie führen ein Gespräch über die Zukunft des Unternehmens.","Wir müssen ein Gespräch über deine Leistungen führen."
"den Grund angeben","to give a reason","accusative","die Ursache nennen","to state the reason","Bitte geben Sie den Grund für Ihre Verspätung an.","Er hat keinen Grund für sein Verhalten angegeben."
"einen Gruß erwidern","to return a greeting","accusative","zurückgrüßen","to greet back","Sie erwiderte seinen freundlichen Gruß mit einem Lächeln.","Es ist höflich, einen Gruß zu erwidern."
"Interesse wecken für","to arouse interest in","accusative","Aufmerksamkeit erregen für etwas","to generate interest in something","Der Vortrag weckte Interesse für das Thema.","Wie können wir Interesse für Mathematik bei den Schülern wecken?"
"in Kauf nehmen","to accept","accusative","akzeptieren, hinnehmen","to put up with, to accept","Die Nachteile muss man in Kauf nehmen.","Er nimmt lange Arbeitszeiten in Kauf, um Karriere zu machen."
"zur Kenntnis nehmen","to take note of","accusative","bemerken, registrieren","to acknowledge","Ich habe Ihre Beschwerde zur Kenntnis genommen.","Der Vorstand nahm den Bericht zur Kenntnis."
"Kontakt aufnehmen mit","to get in touch with","dative","sich mit jemandem in Verbindung setzen","to contact someone","Sie hat Kontakt mit der Universität aufgenommen.","Bitte nehmen Sie mit unserem Kundenservice Kontakt auf."
"in Kontakt treten mit","to contact","dative","jemanden kontaktieren","to get in contact with","Er ist mit dem Experten in Kontakt getreten.","Wir sollten mit dem Anwalt in Kontakt treten."
"die Kosten tragen","to bear the costs","accusative","für die Ausgaben aufkommen","to cover the expenses","Das Unternehmen trägt die Kosten für die Fortbildung.","Wer trägt die Kosten für die Reparatur?"
"Kritik üben an","to criticize","dative","etwas bemängeln, kritisieren","to find fault with something","Er übte Kritik an der neuen Regelung.","Die Experten üben Kritik am Gesetzentwurf."
"in der Lage sein zu","to be able to","dative","fähig sein, etwas zu tun","to be capable of doing something","Sie ist in der Lage, das Problem zu lösen.","Sind Sie in der Lage, morgen zu kommen?"
"am Laufen halten","to keep running","dative","in Betrieb halten","to keep operating","Wir müssen den Betrieb am Laufen halten.","Er hält das Geschäft trotz Krise am Laufen."
"auf dem Laufenden sein","to be up to date","dative","informiert sein","to be informed","Ich bin über die aktuellen Entwicklungen auf dem Laufenden.","Halten Sie mich bitte auf dem Laufenden."
"auf den Markt bringen","to launch","accusative","einführen, veröffentlichen","to release, to market","Das Unternehmen bringt ein neues Produkt auf den Markt.","Wann wird die neue Version auf den Markt gebracht?"
"sich Mühe geben","to make an effort","accusative","sich anstrengen","to try hard","Er gibt sich große Mühe bei der Arbeit.","Du musst dir mehr Mühe geben."
"auf die Nerven gehen","to get on someone's nerves","accusative","jemanden irritieren","to annoy someone","Sein ständiges Klopfen geht mir auf die Nerven.","Diese Musik geht mir auf die Nerven."
"an einem Plan festhalten","to stick to a plan","dative","einen Plan weiterverfolgen","to adhere to a plan","Wir halten an unserem ursprünglichen Plan fest.","Trotz der Schwierigkeiten hält sie an ihrem Plan fest."
"eine Prüfung ablegen","to take an exam","accusative","eine Prüfung machen","to sit an exam","Sie hat ihre letzte Prüfung erfolgreich abgelegt.","Er muss noch eine Prüfung in Mathematik ablegen."
"jdm. Respekt entgegenbringen","to show respect to someone","dative","jemanden respektieren","to respect someone","Wir sollten älteren Menschen Respekt entgegenbringen.","Sie bringt ihren Kollegen viel Respekt entgegen."
"eine Rolle spielen","to play a role","accusative","wichtig sein, bedeutsam sein","to be important, to matter","Geld spielt keine Rolle.","Das Alter spielt bei der Einstellung keine Rolle."
"Rückmeldung geben zu","to give feedback on","dative","Feedback geben","to provide feedback","Bitte geben Sie Rückmeldung zu unserem Vorschlag.","Der Lehrer gibt Rückmeldung zu den Hausaufgaben."
"Rücksicht nehmen auf","to show consideration for","accusative","berücksichtigen, beachten","to be considerate of","Wir müssen Rücksicht auf die Nachbarn nehmen.","Nimm bitte Rücksicht auf die anderen Gäste."
"Ruhe bewahren","to keep calm","accusative","ruhig bleiben","to remain calm","In Krisensituationen ist es wichtig, Ruhe zu bewahren.","Bewahren Sie bitte Ruhe und geraten Sie nicht in Panik."
"in Schutz nehmen","to defend","accusative","verteidigen","to protect, to stand up for","Sie nahm ihren Kollegen in Schutz.","Der Lehrer nimmt seine Schüler in Schutz."
"sich Sorgen machen um","to worry about","accusative","besorgt sein über","to be concerned about","Sie macht sich Sorgen um ihre Kinder.","Mach dir keine Sorgen um mich."
"aufs Spiel setzen","to put at risk","accusative","riskieren","to jeopardize","Er setzt seine Karriere aufs Spiel.","Du solltest deine Gesundheit nicht aufs Spiel setzen."
"zur Sprache bringen","to bring up","accusative","ansprechen, thematisieren","to mention, to raise an issue","Ich möchte noch ein Problem zur Sprache bringen.","Sie hat das Thema in der Sitzung zur Sprache gebracht."
"zur Sprache kommen","to be mentioned","accusative","angesprochen werden","to come up in conversation","Das Thema wird morgen zur Sprache kommen.","Die Probleme sind in der Besprechung zur Sprache gekommen."
"auf den neuesten Stand bringen","to update","accusative","aktualisieren, informieren","to bring up to date","Ich bringe dich auf den neuesten Stand.","Können Sie mich auf den neuesten Stand bringen?"
"auf dem Standpunkt stehen","to take the position","dative","eine Meinung vertreten","to hold the view","Er steht auf dem Standpunkt, dass Änderungen notwendig sind.","Ich stehe auf dem Standpunkt, dass wir handeln müssen."
"Stellung nehmen zu","to comment on","dative","sich äußern zu","to take a position on","Der Minister nimmt Stellung zum Vorfall.","Bitte nehmen Sie zu den Vorwürfen Stellung."
"eine Verabredung treffen zu","to make an appointment for","dative","einen Termin vereinbaren für","to arrange a date for","Wir haben eine Verabredung zum Mittagessen getroffen.","Sie treffen eine Verabredung zum nächsten Treffen."
"eine Verabredung treffen mit","to make an appointment with","dative","sich mit jemandem verabreden","to arrange to meet someone","Er hat eine Verabredung mit dem Arzt getroffen.","Sie trifft eine Verabredung mit ihrem Freund."
"Verantwortung tragen für","to be responsible for","accusative","verantwortlich sein für","to bear responsibility for","Er trägt die Verantwortung für das Projekt.","Wir alle tragen Verantwortung für unsere Umwelt."
"sich in Verbindung setzen mit","to get in touch with","dative","jemanden kontaktieren","to contact someone","Bitte setzen Sie sich mit der Personalabteilung in Verbindung.","Er hat sich mit mir in Verbindung gesetzt."
"in Verlegenheit bringen","to embarrass","accusative","jemanden beschämen","to make someone feel uncomfortable","Seine Frage brachte sie in Verlegenheit.","Bring mich nicht vor allen Leuten in Verlegenheit."
"zur Verfügung stehen","to be available","dative","verfügbar sein","to be at one's disposal","Ich stehe Ihnen jederzeit zur Verfügung.","Der Raum steht ab morgen zur Verfügung."
"zur Verfügung stellen","to make available","dative","bereitstellen, anbieten","to provide, to offer","Wir stellen Ihnen alle nötigen Unterlagen zur Verfügung.","Das Hotel stellt kostenfreies WLAN zur Verfügung."
"Verständnis aufbringen für","to show understanding for","accusative","etwas verstehen, nachvollziehen können","to be understanding of","Er bringt Verständnis für ihre Situation auf.","Ich kann kein Verständnis für dieses Verhalten aufbringen."
"jdm. den Vorzug geben","to prefer someone","accusative","jemanden bevorzugen","to give preference to someone","Sie gab dem erfahreneren Kandidaten den Vorzug.","Bei gleicher Qualifikation geben wir Frauen den Vorzug."
"jdm. aus dem Weg gehen","to avoid someone","dative","jemanden meiden","to steer clear of someone","Er geht seinem ehemaligen Chef aus dem Weg.","Sie versucht, Konflikten aus dem Weg zu gehen."
"im Zentrum stehen","to be at the center","dative","im Mittelpunkt stehen","to be the focus","Das Wohlbefinden der Patienten steht im Zentrum unserer Arbeit.","Bei diesem Projekt stehen die Bedürfnisse der Kunden im Zentrum."
"im Zusammenhang stehen mit","to be related to","dative","mit etwas verbunden sein","to be connected with","Diese Probleme stehen im Zusammenhang mit der Wirtschaftskrise.","Sein Verhalten steht im Zusammenhang mit seinen Erfahrungen."
"Zweifel haben an","to have doubts about","dative","etwas bezweifeln","to be doubtful about","Ich habe Zweifel an seiner Ehrlichkeit.","Sie hat Zweifel an der Richtigkeit der Entscheidung."
"außer Zweifel stehen","to be beyond doubt","dative","unbezweifelbar sein","to be unquestionable","Seine Kompetenz steht außer Zweifel.","Es steht außer Zweifel, dass Veränderungen nötig sind."
